"search_string","unique_name","approximate_match","ott_id","is_synonym","flags","number_matches"
"lycium acutifolium","Lycium acutifolium",FALSE,"660393",FALSE,"","1"
"lycium afrum","Lycium afrum",FALSE,"612893",FALSE,"","3"
"lycium ameghinoi","Lycium ameghinoi",FALSE,"40032",FALSE,"","1"
"lycium americanum","Lycium americanum",FALSE,"40034",FALSE,"","1"
"lycium andersonii","Lycium andersonii",FALSE,"1004203",FALSE,"","1"
NA,NA,NA,NA,NA,NA,NA
"lycium arenicolum","Lycium arenicola",FALSE,"970947",TRUE,"","1"
"lycium barbarum","Lycium barbarum",FALSE,"40038",FALSE,"","2"
"lycium berberioides","Lycium puberulum",FALSE,"31869",TRUE,"","1"
"lycium berlandieri","Lycium berlandieri",FALSE,"40045",FALSE,"","1"
"lycium berlandieri var. parviflorum","Lycium berlandieri var. parviflorum",FALSE,"40049",FALSE,"INFRASPECIFIC","1"
"lycium bosciifolium","Lycium bosciifolium",FALSE,"596960",FALSE,"","1"
"lycium brevipes","Lycium brevipes",FALSE,"109761",FALSE,"","1"
"lycium californicum","Lycium californicum",FALSE,"40052",FALSE,"","1"
"lycium carinatum","Allium carinatum",TRUE,"70786",FALSE,"","11"
"lycium carolinianum","Lycium carolinianum",FALSE,"40028",FALSE,"","1"
"lycium carolinianum var. quadrifidum","Lycium carolinianum var. quadrifidum",FALSE,"560953",FALSE,"INFRASPECIFIC","1"
"lycium cestroides","Lycium cestroides",FALSE,"232465",FALSE,"","1"
"lycium chanar","Lycium chanar",FALSE,"660384",FALSE,"","1"
"lycium chilense","Lycium chilense",FALSE,"814797",FALSE,"","1"
"lycium chinense","Lycium chinense",FALSE,"58730",FALSE,"","1"
NA,NA,NA,NA,NA,NA,NA
"lycium ciliatum","Lycium ciliatum",FALSE,"814816",FALSE,"","1"
"lycium cinereum","Lycium cinereum",FALSE,"560951",FALSE,"","1"
"lycium cooperi","Lycium cooperi",FALSE,"109758",FALSE,"","1"
"lycium cuneatum","Lycium cuneatum",FALSE,"596962",FALSE,"","1"
"lycium cyathiformum","Lycium cyathiforme",TRUE,"6091955",FALSE,"","1"
"lycium cylindricum","Lycium cylindricum",FALSE,"5627",FALSE,"","1"
"lycium dasystemum","Lycium dasystemum",FALSE,"798223",FALSE,"","1"
"lycium decumbens","Lycium decumbens",FALSE,"660386",FALSE,"","1"
"lycium densifolium","Lycium densifolium",FALSE,"6091956",FALSE,"","1"
"lycium depressum","Lycium depressum",FALSE,"660399",FALSE,"","1"
"lycium deserti","Lycium deserti",FALSE,"131407",FALSE,"","1"
"lycium dispermum","Lycium leiospermum",TRUE,"86084",FALSE,"","1"
"lycium distichum","Lycium distichum",FALSE,"6091957",FALSE,"","1"
"lycium divaricatum","Lycium distichum",FALSE,"6091957",TRUE,"","1"
"lycium edgeworthii","Lycium edgeworthii",FALSE,"5232846",FALSE,"","1"
"lycium eenii","Lycium eenii",FALSE,"660402",FALSE,"","1"
"lycium elongatum","Lycium elongatum",FALSE,"560949",FALSE,"","2"
"lycium europaeum","Lycium europaeum",FALSE,"560947",FALSE,"","2"
"lycium exsertum","Lycium exsertum",FALSE,"650743",FALSE,"","1"
"lycium ferocissimum","Lycium ferocissimum",FALSE,"560945",FALSE,"","1"
"lycium fremontii","Lycium fremontii",FALSE,"109764",FALSE,"","1"
"lycium fuscum","Lycium fuscum",FALSE,"86082",FALSE,"","1"
"lycium gilliesianum","Lycium gilliesianum",FALSE,"596956",FALSE,"","1"
"lycium glomeratum","Lycium morongii",FALSE,"560943",TRUE,"","1"
"lycium hassei","Lycium hassei",FALSE,"3870205",FALSE,"","1"
"lycium hirsutum","Lycium hirsutum",FALSE,"596958",FALSE,"","1"
"lycium horridum","Lycium horridum",FALSE,"596968",FALSE,"","3"
"lycium humile","Lycium humile",FALSE,"6091962",FALSE,"","1"
"lycium infaustum","Lycium infaustum",FALSE,"596971",FALSE,"","1"
"lycium intricatum","Lycium intricatum",FALSE,"596964",FALSE,"","2"
NA,NA,NA,NA,NA,NA,NA
"lycium leiostemum","Lycium leiostemum",FALSE,"6091967",FALSE,"","1"
"lycium macrodon","Lycium macrodon",FALSE,"109771",FALSE,"","1"
"lycium makranicum","Lycium makranicum",FALSE,"6091968",FALSE,"","1"
"lycium martii","Lycium martii",FALSE,"5784116",FALSE,"","1"
"lycium mascarenense","Lycium mascarenense",FALSE,"86071",FALSE,"","1"
"lycium megacarpum","Lycium megacarpum",FALSE,"6091969",FALSE,"","1"
"lycium minimum","Lycium minimum",FALSE,"86069",FALSE,"","1"
"lycium minutifolium","Lycium minutifolium",FALSE,"86076",FALSE,"","1"
"lycium morongii","Lycium morongii",FALSE,"560943",FALSE,"","1"
"lycium nodosum","Lycium nodosum",FALSE,"596966",FALSE,"","1"
"lycium oxycarpum","Lycium oxycarpum",FALSE,"596951",FALSE,"","1"
"lycium pallidum","Lycium pallidum",FALSE,"560940",FALSE,"","1"
"lycium parishii","Lycium parishii",FALSE,"109769",FALSE,"","1"
NA,NA,NA,NA,NA,NA,NA
"lycium pilifolium","Lycium pilifolium",FALSE,"560938",FALSE,"","1"
"lycium prunus-spinosa","Lycium prunus-spinosa",FALSE,"560968",FALSE,"","2"
"lycium puberulum","Lycium puberulum",FALSE,"31869",FALSE,"","1"
"lycium pumilum","Lycium pumilum",FALSE,"86074",FALSE,"","2"
"lycium rachidocladum","Lycium rachidocladum",FALSE,"86090",FALSE,"","1"
"lycium repens","Lycium",FALSE,"442500",TRUE,"","1"
"lycium richii","Lycium brevipes",FALSE,"109761",TRUE,"","1"
"lycium ruthenicum","Lycium ruthenicum",FALSE,"560965",FALSE,"","1"
"lycium sandwicense","Lycium sandwicense",FALSE,"194443",FALSE,"","1"
"lycium schizocalyx","Lycium schizocalyx",FALSE,"913565",FALSE,"","1"
"lycium schweinfurthii","Lycium schweinfurthii",FALSE,"86088",FALSE,"","1"
"lycium shawii","Lycium shawii",FALSE,"814789",FALSE,"","1"
"lycium shockleyi","Lycium shockleyi",FALSE,"109774",FALSE,"","1"
"lycium stenophyllum","Lycium stenophyllum",FALSE,"505217",FALSE,"","1"
"lycium strandveldense","Lycium strandveldense",FALSE,"505219",FALSE,"","1"
"lycium tenuispinosum","Lycium tenuispinosum",FALSE,"24215",FALSE,"","1"
NA,NA,NA,NA,NA,NA,NA
"lycium tetrandrum","Lycium tetrandrum",FALSE,"814854",FALSE,"","2"
"lycium texanum","Lycium texanum",FALSE,"24212",FALSE,"","1"
"lycium torreyi","Lycium torreyi",FALSE,"735524",FALSE,"","1"
"lycium truncatum","Lycium truncatum",FALSE,"798219",FALSE,"","1"
"lycium tweedianum","Lycium infaustum",FALSE,"596971",TRUE,"","1"
"lycium verrucosum","Lycium brevipes",FALSE,"109761",TRUE,"","1"
"lycium villosum","Lycium villosum",FALSE,"194441",FALSE,"","1"
"lycium vimineum","Lycium vimineum",FALSE,"24219",FALSE,"","1"
"lycium woodii","Lycium cinereum",FALSE,"560951",TRUE,"","1"
"lycium yunnanense","Lycium yunnanense",FALSE,"798221",FALSE,"","1"
